question,answer_agent,answer_orig,tool_calls,cost,document
Is it safe to start working on a homework if it still looks like a draft?,"If the homework title contains `[DRAFT]`, it is **not ready yet**, so working on it is **at your own risk**.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title **does not** contain `[DRAFT]`.

Until then, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""safe to start working on homework if it still looks like a draft draft homework start working\""}""}]",0.00141975,96286b4be4
Why do the homework instructions or questions sometimes change after they appear?,"If the homework title contains **`[DRAFT]`**, it means the homework is **not ready yet** and its content may still change.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title **does not** contain `[DRAFT]`

Until then, changes are expected. So if you start early, you’re working at your own risk because the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework instructions questions change after appear update change after release FAQ\""}""}]",0.00144825,96286b4be4
When is the next llm-zoomcamp session starting?,The next LLM Zoomcamp offering is **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next llm-zoomcamp session starting\""}""}]",0.00087525,bd31146b0e
Do you know when this course will be offered again?,The course is scheduled to be offered again in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""when course offered again next term offered again schedule future offering\""}""}]",0.00095625,bd31146b0e
What’s the next time this course is planned to run?,The course is planned to run next in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next time this course is planned to run\""}""}]",0.00084225,bd31146b0e
Is there a summer 2027 offering for llm-zoomcamp?,Yes — the FAQ says the next offering for **llm-zoomcamp** is **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""llm-zoomcamp summer 2027 offering\""}""}]",0.0010185,bd31146b0e
When should I expect the next course run to begin?,The next course run is expected to begin in **Summer 2027**.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next course run begin start date when next run begins\""}""}]",0.00093525,bd31146b0e
Is there a place I should start from if I want to find the course lectures and videos?,"Yes — the best place to start is the **LLM Zoomcamp GitHub repository**:

- Main repo: https://github.com/DataTalksClub/llm-zoomcamp  
- Open the relevant **lesson folder** there; each lesson page has the **videos linked at the top**.

If you’re looking for the overall course flow, the docs also suggest starting with:

- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/

When in doubt, follow the **GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""course lectures videos where to start find lectures videos\""}""}]",0.0015210,31456f4b5f
Where can I see the video links for each lesson in this course?,"Use the course GitHub repository as the main entry point. Open the lesson folders there — each lesson page has the relevant video links linked at the top.

If you’re using LLM Zoomcamp, start here:
https://github.com/DataTalksClub/llm-zoomcamp

When in doubt, the GitHub repo is the best place to check because it’s usually updated more reliably than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""video links each lesson course where can I see video links lesson\""}""}]",0.0012855,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better place to find the latest lesson videos?","You don’t need to rely on the YouTube playlist as the main source.

The FAQ says the **LLM Zoomcamp GitHub repository** is the best place to start, and **each lesson page has the relevant videos linked at the top**. It also notes that the GitHub repo is **easier to keep updated than the YouTube playlist**.

So for the latest lesson videos, use:
- **LLM Zoomcamp GitHub repo** first
- lesson folders/pages inside it for the current video links

If you want, I can also point you to the specific repo page structure.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""YouTube playlist latest lesson videos better place find latest lesson videos\""}""}]",0.0016365,31456f4b5f
How do I get to the lesson-specific videos for the LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Then open the **lesson folders** in the repo. Each lesson page has the relevant videos linked at the top.

If you’re unsure, prefer the **GitHub repo** over the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""lesson-specific videos LLM Zoomcamp\""}""}]",0.00127575,31456f4b5f
What's the main source for the course materials and lecture links?,"The main source is the course GitHub repository.

For current materials and lecture/video links, check the relevant cohort directory in the repo, for example:
- `cohorts/2026/...` for the current course materials

The course management platform is also used for submissions and deadlines, but the GitHub repo is the primary place for materials and links.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""main source course materials lecture links\""}""}]",0.00110625,31456f4b5f
